Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,2,1,2,"Database Management System (DBMS), English Proficiency (Written), MS-Excel, MS-Word, C Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Figma, Java, MS SQL Server, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, UI & UX Design, Video Editing, Apache, Blogging, Computer Vision, Natural Language Processing (NLP), Search Engine Optimization (SEO), Social Media Marketing, User Interface (UI) Development",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,9.80/10,,,100.0
,2,2,2,1,"C++ Programming, Chemistry, English Proficiency (Spoken), Machine Learning, Mathematics, Natural Language Processing (NLP), Physics, Python, SQL, Unity 3D, Algorithms, Android, Artificial intelligence, Blender 3D, C Programming, C#.NET, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Written), HTML, MS-Excel, MS-Office, MongoDB, Tableau, Unity Engine",24,B.Tech (Hons.),Computer Science,2023,,,76.90/76.90,10.00/10.00,100.0
,2,2,1,1,"Cloud Computing, Amazon Web Services (AWS), C Programming, Computer Networking, Java, Machine Learning, Python, Blockchain, CSS, Deep Learning, Flutter, Internet of Things (IoT), MySQL, Natural Language Processing (NLP), PHP, SQL",24,Master of Computer Applications (MCA),Networks And Communication,2023,5.54/10,7.28/10,59.30/59.30,7.00/7.00,75.0
,1,2,2,2,"Amazon Web Services (AWS), Artificial intelligence, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, Natural Language Processing (NLP), SQL, Tableau, Python",24,Master of Technology (M.Tech),Statistics Computing( DATA Science ),2022,,59.00/100,8.90/8.90,7.60/7.60,75.0
,1,1,1,1,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, MS-Excel, MS-Office, Statistical Modeling, Statistics, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Project Management, Python, SPSS, SQL, Tableau",24,PG Diploma in Data Science,,2023,,6.81/10,,,75.0
,3,2,2,2,"Data Science, Database Management System (DBMS), Python, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), GNU Octave, Hadoop, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, NoSQL, Power BI, R Programming, SQL, Tableau, OpenCV",24,Integrated M.Sc.,Data Science,2024,8.81/10,,,,100.0
,3,2,3,3,"Computer Vision, Data Science, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Amazon Web Server (AWS), Amazon Web Services (AWS), C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Django, Flask, HTML, Java, JavaScript, Machine Learning, R Programming, Statistics",24,B.Tech,computer science,2024,,,91.00/91.00,,100.0
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Accounting, Algorithms, Business Analysis, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Financial literacy, MS-Excel, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, Research and Analytics, SQL, Tableau, Data Structures, Financial Modeling, Investing, Stock Trading, Tally",11,B.Tech,Electronics Engineering,2024,9.00/10,,,,75.0
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Product Lifecycle Management(PLM), Research and Analytics, Business Analysis, Data Science, Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Project Management, Python, SQL, Tableau",24,B.Tech,computer science,2023,,,,,75.0
,2,1,1,1,"Content Writing, English Proficiency (Written), Java, MS-PowerPoint, MS-Word, ARM Microcontroller, Arduino, C Programming, C++ Programming, Canva, Cloud Computing, Computer Vision, Data Structures, Database Management System (DBMS), Effective Communication, Embedded Systems, English Proficiency (Spoken), Google Cloud Computing, HTML, Internet of Things (IoT), MS SQL Server, MS-Excel, MS-Office, Microsoft Azure, Microsoft Visual Studio, Python, SQL, Teaching, .NET, Amazon Web Services (AWS), Atmel AVR, CSS, Circuit Design, Data Analytics, Data Science, Deep Learning, Django, Eclipse (IDE), Engineering Drawing, Flask, Flutter, Hadoop, Image Processing, MEAN/MERN Stack, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Node.js, Online Teaching, PCB Design, PLC SCADA, R Programming, REST API, Raspberry Pi, ReactJS, Robotics, SQLite, Software Testing, Swing (Java), UI & UX Design",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,,,,100.0
,2,2,2,2,"Android, Computer Vision, Data Science, Deep Learning, Firebase, Flask, Flutter, Java, Kotlin, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, Python",24,Bachelor of Engineering (B.E),Information Technology,2025,,9.65/10,92.00/92.00,92.00/92.00,75.0
,3,2,2,2,"Computer Vision, Python, Algorithms, Amazon Web Services (AWS), C++ Programming, CSS, Data Structures, Deep Learning, Django, Git, GitHub, HTML, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, ReactJS",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,8.00/10,,,,87.5
,3,1,1,1,"Python, Data Structures, SQL, Data Science, Deep Learning, Django, MATLAB, Machine Learning, Natural Language Processing (NLP), Power BI, Tableau",24,M.Sc (Information Technology),Data Science,2023,,,66.00/66.00,,75.0
,3,3,1,2,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Mathematics, Python, Amazon Web Services (AWS), Computer Networking, Computer Vision, Deep Learning, Digital Signal Processing, Java, JavaScript, MATLAB, MS-Excel, OpenCV, R Programming, SQL, SQLite, Natural Language Processing (NLP)",24,B.Tech,Computer Science,2024,,7.51/10,89.60/89.60,91.00/91.00,100.0
,2,2,1,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, MySQL, Neural Networks, PostgreSQL, Python, SQL, Computer Vision, Natural Language Processing (NLP)",24,Master of Technology (M.Tech),Data Science,2023,7.50/10,,,,75.0
